$0.10	$0.20	$0.50	$1.00	$2.00	$5.00	$10.00	$20.00	$30.00	
$0.01	$0.02	$0.05	$0.10	$0.20	$0.50	$1.00	$2.00	$3.00	40
$0.02	$0.04	$0.10	$0.20	$0.40	$1.00	$2.00	$4.00	$6.00	32.79
$0.03	$0.06	$0.15	$0.30	$0.60	$1.50	$3.00	$6.00	$9.00	90.91
$0.04	$0.08	$0.20	$0.40	$0.80	$2.00	$4.00	$8.00	$12.00	400,000.00
$0.05	$0.10	$0.25	$0.50	$1.00	$2.50	$5.00	$10.00	$15.00	32.26
$0.06	$0.12	$0.30	$0.60	$1.20	$3.00	$6.00	$12.00	$18.00	2,000.00
$0.09	$0.18	$0.45	$0.90	$1.80	$4.50	$9.00	$18.00	$27.00	2,000.00
$0.10	$0.20	$0.50	$1.00	$2.00	$5.00	$10.00	$20.00	$30.00	21.45
$0.11	$0.22	$0.55	$1.10	$2.20	$5.50	$11.00	$22.00	$33.00	45.45
$0.12	$0.24	$0.60	$1.20	$2.40	$6.00	$12.00	$24.00	$36.00	108.11
$0.15	$0.30	$0.75	$1.50	$3.00	$7.50	$15.00	$30.00	$45.00	27.76
$0.20	$0.40	$1.00	$2.00	$4.00	$10.00	$20.00	$40.00	$60.00	126.58
$0.23	$0.46	$1.15	$2.30	$4.60	$11.50	$23.00	$46.00	$69.00	800
$0.25	$0.50	$1.25	$2.50	$5.00	$12.50	$25.00	$50.00	$75.00	333.33
$0.26	$0.52	$1.30	$2.60	$5.20	$13.00	$26.00	$52.00	$78.00	2,000.00
$0.27	$0.54	$1.35	$2.70	$5.40	$13.50	$27.00	$54.00	$81.00	666.67
$0.30	$0.60	$1.50	$3.00	$6.00	$15.00	$30.00	$60.00	$90.00	181.93
$0.32	$0.64	$1.60	$3.20	$6.40	$16.00	$32.00	$64.00	$96.00	4,000.00
$0.33	$0.66	$1.65	$3.30	$6.60	$16.50	$33.00	$66.00	$99.00	833.33
$0.35	$0.70	$1.75	$3.50	$7.00	$17.50	$35.00	$70.00	$105.00	1,333.33
$0.40	$0.80	$2.00	$4.00	$8.00	$20.00	$40.00	$80.00	$120.00	2,222.22
$0.45	$0.90	$2.25	$4.50	$9.00	$22.50	$45.00	$90.00	$135.00	2,500.00
$0.50	$1.00	$2.50	$5.00	$10.00	$25.00	$50.00	$100.00	$150.00	952.38
$0.53	$1.06	$2.65	$5.30	$10.60	$26.50	$53.00	$106.00	$159.00	1,000.00
$0.55	$1.10	$2.75	$5.50	$11.00	$27.50	$55.00	$110.00	$165.00	2,222.22
$0.60	$1.20	$3.00	$6.00	$12.00	$30.00	$60.00	$120.00	$180.00	2,000.00
$0.63	$1.26	$3.15	$6.30	$12.60	$31.50	$63.00	$126.00	$189.00	20,000.00
$0.65	$1.30	$3.25	$6.50	$13.00	$32.50	$65.00	$130.00	$195.00	1,818.18
$0.67	$1.34	$3.35	$6.70	$13.40	$33.50	$67.00	$134.00	$201.00	20,000.00
$0.70	$1.40	$3.50	$7.00	$14.00	$35.00	$70.00	$140.00	$210.00	20,000.00
$0.77	$1.54	$3.85	$7.70	$15.40	$38.50	$77.00	$154.00	$231.00	20,000.00
$0.80	$1.60	$4.00	$8.00	$16.00	$40.00	$80.00	$160.00	$240.00	2,857.14
$0.85	$1.70	$4.25	$8.50	$17.00	$42.50	$85.00	$170.00	$255.00	20,000.00
$0.90	$1.80	$4.50	$9.00	$18.00	$45.00	$90.00	$180.00	$270.00	1,250.00
$0.95	$1.90	$4.75	$9.50	$19.00	$47.50	$95.00	$190.00	$285.00	20,000.00
$1.00	$2.00	$5.00	$10.00	$20.00	$50.00	$100.00	$200.00	$300.00	1,587.30
$1.03	$2.06	$5.15	$10.30	$20.60	$51.50	$103.00	$206.00	$309.00	2,222.22
$1.05	$2.10	$5.25	$10.50	$21.00	$52.50	$105.00	$210.00	$315.00	20,000.00
$1.08	$2.16	$5.40	$10.80	$21.60	$54.00	$108.00	$216.00	$324.00	2,500.00
$1.10	$2.20	$5.50	$11.00	$22.00	$55.00	$110.00	$220.00	$330.00	2,000.00
$1.15	$2.30	$5.75	$11.50	$23.00	$57.50	$115.00	$230.00	$345.00	4,000.00
$1.20	$2.40	$6.00	$12.00	$24.00	$60.00	$120.00	$240.00	$360.00	2,000.00
$1.30	$2.60	$6.50	$13.00	$26.00	$65.00	$130.00	$260.00	$390.00	5,000.00
$1.35	$2.70	$6.75	$13.50	$27.00	$67.50	$135.00	$270.00	$405.00	1,818.18
$1.40	$2.80	$7.00	$14.00	$28.00	$70.00	$140.00	$280.00	$420.00	6,666.67
$1.50	$3.00	$7.50	$15.00	$30.00	$75.00	$150.00	$300.00	$450.00	961.54
$1.63	$3.26	$8.15	$16.30	$32.60	$81.50	$163.00	$326.00	$489.00	20,000.00
$1.65	$3.30	$8.25	$16.50	$33.00	$82.50	$165.00	$330.00	$495.00	800
$1.70	$3.40	$8.50	$17.00	$34.00	$85.00	$170.00	$340.00	$510.00	20,000.00
$1.80	$3.60	$9.00	$18.00	$36.00	$90.00	$180.00	$360.00	$540.00	1,818.18
$2.00	$4.00	$10.00	$20.00	$40.00	$100.00	$200.00	$400.00	$600.00	13,793.10
$2.03	$4.06	$10.15	$20.30	$40.60	$101.50	$203.00	$406.00	$609.00	2,500.00
$2.05	$4.10	$10.25	$20.50	$41.00	$102.50	$205.00	$410.00	$615.00	2,500.00
$2.11	$4.22	$10.55	$21.10	$42.20	$105.50	$211.00	$422.00	$633.00	25,000.00
$2.17	$4.34	$10.85	$21.70	$43.40	$108.50	$217.00	$434.00	$651.00	800
$2.25	$4.50	$11.25	$22.50	$45.00	$112.50	$225.00	$450.00	$675.00	2,222.22
$2.30	$4.60	$11.50	$23.00	$46.00	$115.00	$230.00	$460.00	$690.00	3,333.33
$2.40	$4.80	$12.00	$24.00	$48.00	$120.00	$240.00	$480.00	$720.00	20,000.00
$2.45	$4.90	$12.25	$24.50	$49.00	$122.50	$245.00	$490.00	$735.00	5,000.00
$2.50	$5.00	$12.50	$25.00	$50.00	$125.00	$250.00	$500.00	$750.00	2,222.22
$2.53	$5.06	$12.65	$25.30	$50.60	$126.50	$253.00	$506.00	$759.00	2,500.00
$2.70	$5.40	$13.50	$27.00	$54.00	$135.00	$270.00	$540.00	$810.00	1,176.47
$2.80	$5.60	$14.00	$28.00	$56.00	$140.00	$280.00	$560.00	$840.00	1,250.00
$2.95	$5.90	$14.75	$29.50	$59.00	$147.50	$295.00	$590.00	$885.00	2,500.00
$3.00	$6.00	$15.00	$30.00	$60.00	$150.00	$300.00	$600.00	$900.00	1,075.27
$3.03	$6.06	$15.15	$30.30	$60.60	$151.50	$303.00	$606.00	$909.00	2,500.00
$3.14	$6.28	$15.70	$31.40	$62.80	$157.00	$314.00	$628.00	$942.00	1,111.11
$3.26	$6.52	$16.30	$32.60	$65.20	$163.00	$326.00	$652.00	$978.00	4,000.00
$3.35	$6.70	$16.75	$33.50	$67.00	$167.50	$335.00	$670.00	$1,005.00	20,000.00
$3.40	$6.80	$17.00	$34.00	$68.00	$170.00	$340.00	$680.00	$1,020.00	952.38
$3.44	$6.88	$17.20	$34.40	$68.80	$172.00	$344.00	$688.00	$1,032.00	952.38
$3.50	$7.00	$17.50	$35.00	$70.00	$175.00	$350.00	$700.00	$1,050.00	100,000.00
$3.53	$7.06	$17.65	$35.30	$70.60	$176.50	$353.00	$706.00	$1,059.00	2,500.00
$3.55	$7.10	$17.75	$35.50	$71.00	$177.50	$355.00	$710.00	$1,065.00	100,000.00
$3.58	$7.16	$17.90	$35.80	$71.60	$179.00	$358.00	$716.00	$1,074.00	20,000.00
$3.60	$7.20	$18.00	$36.00	$72.00	$180.00	$360.00	$720.00	$1,080.00	40,000.00
$3.66	$7.32	$18.30	$36.60	$73.20	$183.00	$366.00	$732.00	$1,098.00	1,111.11
$3.75	$7.50	$18.75	$37.50	$75.00	$187.50	$375.00	$750.00	$1,125.00	2,222.22
$3.80	$7.60	$19.00	$38.00	$76.00	$190.00	$380.00	$760.00	$1,140.00	66,666.67
$4.03	$8.06	$20.15	$40.30	$80.60	$201.50	$403.00	$806.00	$1,209.00	20,000.00
$4.05	$8.10	$20.25	$40.50	$81.00	$202.50	$405.00	$810.00	$1,215.00	10,000.00
$4.20	$8.40	$21.00	$42.00	$84.00	$210.00	$420.00	$840.00	$1,260.00	40,000.00
$4.33	$8.66	$21.65	$43.30	$86.60	$216.50	$433.00	$866.00	$1,299.00	4,000.00
$4.50	$9.00	$22.50	$45.00	$90.00	$225.00	$450.00	$900.00	$1,350.00	18,181.82
$4.53	$9.06	$22.65	$45.30	$90.60	$226.50	$453.00	$906.00	$1,359.00	5,000.00
$4.75	$9.50	$23.75	$47.50	$95.00	$237.50	$475.00	$950.00	$1,425.00	4,000.00
$4.80	$9.60	$24.00	$48.00	$96.00	$240.00	$480.00	$960.00	$1,440.00	200,000.00
$5.00	$10.00	$25.00	$50.00	$100.00	$250.00	$500.00	$1,000.00	$1,500.00	16,000.00
$5.03	$10.06	$25.15	$50.30	$100.60	$251.50	$503.00	$1,006.00	$1,509.00	20,000.00
$5.05	$10.10	$25.25	$50.50	$101.00	$252.50	$505.00	$1,010.00	$1,515.00	100,000.00
$5.07	$10.14	$25.35	$50.70	$101.40	$253.50	$507.00	$1,014.00	$1,521.00	6,666.67
$5.11	$10.22	$25.55	$51.10	$102.20	$255.50	$511.00	$1,022.00	$1,533.00	200,000.00
$5.16	$10.32	$25.80	$51.60	$103.20	$258.00	$516.00	$1,032.00	$1,548.00	4,000.00
$5.19	$10.38	$25.95	$51.90	$103.80	$259.50	$519.00	$1,038.00	$1,557.00	6,666.67
$5.20	$10.40	$26.00	$52.00	$104.00	$260.00	$520.00	$1,040.00	$1,560.00	6,250.00
$5.40	$10.80	$27.00	$54.00	$108.00	$270.00	$540.00	$1,080.00	$1,620.00	100,000.00
$5.45	$10.90	$27.25	$54.50	$109.00	$272.50	$545.00	$1,090.00	$1,635.00	100,000.00
$5.70	$11.40	$28.50	$57.00	$114.00	$285.00	$570.00	$1,140.00	$1,710.00	100,000.00
$5.96	$11.92	$29.80	$59.60	$119.20	$298.00	$596.00	$1,192.00	$1,788.00	20,000.00
$6.00	$12.00	$30.00	$60.00	$120.00	$300.00	$600.00	$1,200.00	$1,800.00	20,000.00
$6.11	$12.22	$30.55	$61.10	$122.20	$305.50	$611.00	$1,222.00	$1,833.00	3,333.33
$6.33	$12.66	$31.65	$63.30	$126.60	$316.50	$633.00	$1,266.00	$1,899.00	20,000.00
$6.42	$12.84	$32.10	$64.20	$128.40	$321.00	$642.00	$1,284.00	$1,926.00	6,666.67
$6.51	$13.02	$32.55	$65.10	$130.20	$325.50	$651.00	$1,302.00	$1,953.00	3,333.33
$7.00	$14.00	$35.00	$70.00	$140.00	$350.00	$700.00	$1,400.00	$2,100.00	66,666.67
$7.12	$14.24	$35.60	$71.20	$142.40	$356.00	$712.00	$1,424.00	$2,136.00	200,000.00
$7.33	$14.66	$36.65	$73.30	$146.60	$366.50	$733.00	$1,466.00	$2,199.00	200,000.00
$8.40	$16.80	$42.00	$84.00	$168.00	$420.00	$840.00	$1,680.00	$2,520.00	200,000.00
$10.00	$20.00	$50.00	$100.00	$200.00	$500.00	$1,000.00	$2,000.00	$3,000.00	500,000.00
$10.77	$21.54	$53.85	$107.70	$215.40	$538.50	$1,077.00	$2,154.00	$3,231.00	400,000.00
$11.56	$23.12	$57.80	$115.60	$231.20	$578.00	$1,156.00	$2,312.00	$3,468.00	200,000.00
$11.63	$23.26	$58.15	$116.30	$232.60	$581.50	$1,163.00	$2,326.00	$3,489.00	400,000.00
$12.30	$24.60	$61.50	$123.00	$246.00	$615.00	$1,230.00	$2,460.00	$3,690.00	400,000.00
$14.00	$28.00	$70.00	$140.00	$280.00	$700.00	$1,400.00	$2,800.00	$4,200.00	400,000.00
$14.57	$29.14	$72.85	$145.70	$291.40	$728.50	$1,457.00	$2,914.00	$4,371.00	1,000,000.00
$500.00	$1,000.00	$2,500.00	$5,000.00	$10,000.00	$25,000.00	$50,000.00	$100,000.00	$150,000.00	2,000,000.00
