$0.50	$1.00	$2.00	$5.00	$10.00	$20.00	$30.00	$50.00	
$0.05	$0.10	$0.20	$0.50	$1.00	$2.00	$3.00	$5.00	29.11
$0.10	$0.20	$0.40	$1.00	$2.00	$4.00	$6.00	$10.00	39.21
$0.15	$0.30	$0.60	$1.50	$3.00	$6.00	$9.00	$15.00	166.67
$0.20	$0.40	$0.80	$2.00	$4.00	$8.00	$12.00	$20.00	222.22
$0.25	$0.50	$1.00	$2.50	$5.00	$10.00	$15.00	$25.00	57.14
$0.30	$0.60	$1.20	$3.00	$6.00	$12.00	$18.00	$30.00	117.65
$0.35	$0.70	$1.40	$3.50	$7.00	$14.00	$21.00	$35.00	400
$0.45	$0.90	$1.80	$4.50	$9.00	$18.00	$27.00	$45.00	4,000.00
$0.50	$1.00	$2.00	$5.00	$10.00	$20.00	$30.00	$50.00	19.71
$0.55	$1.10	$2.20	$5.50	$11.00	$22.00	$33.00	$55.00	105.26
$0.60	$1.20	$2.40	$6.00	$12.00	$24.00	$36.00	$60.00	83.33
$0.75	$1.50	$3.00	$7.50	$15.00	$30.00	$45.00	$75.00	133.33
$1.00	$2.00	$4.00	$10.00	$20.00	$40.00	$60.00	$100.00	25.84
$1.05	$2.10	$4.20	$10.50	$21.00	$42.00	$63.00	$105.00	400
$1.25	$2.50	$5.00	$12.50	$25.00	$50.00	$75.00	$125.00	654.24
$1.35	$2.70	$5.40	$13.50	$27.00	$54.00	$81.00	$135.00	20,000.00
$1.50	$3.00	$6.00	$15.00	$30.00	$60.00	$90.00	$150.00	105.45
$1.55	$3.10	$6.20	$15.50	$31.00	$62.00	$93.00	$155.00	8,403.36
$1.60	$3.20	$6.40	$16.00	$32.00	$64.00	$96.00	$160.00	13,605.44
$2.00	$4.00	$8.00	$20.00	$40.00	$80.00	$120.00	$200.00	692.52
$2.30	$4.60	$9.20	$23.00	$46.00	$92.00	$138.00	$230.00	11,363.64
$2.50	$5.00	$10.00	$25.00	$50.00	$100.00	$150.00	$250.00	168.89
$2.55	$5.10	$10.20	$25.50	$51.00	$102.00	$153.00	$255.00	200,000.00
$2.60	$5.20	$10.40	$26.00	$52.00	$104.00	$156.00	$260.00	20,000.00
$2.65	$5.30	$10.60	$26.50	$53.00	$106.00	$159.00	$265.00	11,299.44
$2.75	$5.50	$11.00	$27.50	$55.00	$110.00	$165.00	$275.00	13,793.10
$3.00	$6.00	$12.00	$30.00	$60.00	$120.00	$180.00	$300.00	584.62
$3.10	$6.20	$12.40	$31.00	$62.00	$124.00	$186.00	$310.00	18,348.62
$3.25	$6.50	$13.00	$32.50	$65.00	$130.00	$195.00	$325.00	200,000.00
$3.35	$6.70	$13.40	$33.50	$67.00	$134.00	$201.00	$335.00	20,000.00
$3.50	$7.00	$14.00	$35.00	$70.00	$140.00	$210.00	$350.00	4,166.67
$3.55	$7.10	$14.20	$35.50	$71.00	$142.00	$213.00	$355.00	200,000.00
$3.60	$7.20	$14.40	$36.00	$72.00	$144.00	$216.00	$360.00	6,993.01
$3.75	$7.50	$15.00	$37.50	$75.00	$150.00	$225.00	$375.00	20,000.00
$3.90	$7.80	$15.60	$39.00	$78.00	$156.00	$234.00	$390.00	5,000.00
$4.00	$8.00	$16.00	$40.00	$80.00	$160.00	$240.00	$400.00	714.29
$4.10	$8.20	$16.40	$41.00	$82.00	$164.00	$246.00	$410.00	200,000.00
$4.50	$9.00	$18.00	$45.00	$90.00	$180.00	$270.00	$450.00	2,181.03
$4.75	$9.50	$19.00	$47.50	$95.00	$190.00	$285.00	$475.00	200,000.00
$5.00	$10.00	$20.00	$50.00	$100.00	$200.00	$300.00	$500.00	333.5
$5.05	$10.10	$20.20	$50.50	$101.00	$202.00	$303.00	$505.00	200,000.00
$5.20	$10.40	$20.80	$52.00	$104.00	$208.00	$312.00	$520.00	23,809.52
$5.30	$10.60	$21.20	$53.00	$106.00	$212.00	$318.00	$530.00	4,000.00
$5.35	$10.70	$21.40	$53.50	$107.00	$214.00	$321.00	$535.00	27,777.78
$5.50	$11.00	$22.00	$55.00	$110.00	$220.00	$330.00	$550.00	2,785.52
$5.55	$11.10	$22.20	$55.50	$111.00	$222.00	$333.00	$555.00	20,000.00
$5.60	$11.20	$22.40	$56.00	$112.00	$224.00	$336.00	$560.00	200,000.00
$5.75	$11.50	$23.00	$57.50	$115.00	$230.00	$345.00	$575.00	40,000.00
$6.00	$12.00	$24.00	$60.00	$120.00	$240.00	$360.00	$600.00	862.07
$6.05	$12.10	$24.20	$60.50	$121.00	$242.00	$363.00	$605.00	100,000.00
$6.20	$12.40	$24.80	$62.00	$124.00	$248.00	$372.00	$620.00	40,000.00
$6.25	$12.50	$25.00	$62.50	$125.00	$250.00	$375.00	$625.00	20,000.00
$6.50	$13.00	$26.00	$65.00	$130.00	$260.00	$390.00	$650.00	15,267.18
$6.60	$13.20	$26.40	$66.00	$132.00	$264.00	$396.00	$660.00	200,000.00
$6.65	$13.30	$26.60	$66.50	$133.00	$266.00	$399.00	$665.00	4,000.00
$7.00	$14.00	$28.00	$70.00	$140.00	$280.00	$420.00	$700.00	200,000.00
$7.45	$14.90	$29.80	$74.50	$149.00	$298.00	$447.00	$745.00	4,000.00
$7.50	$15.00	$30.00	$75.00	$150.00	$300.00	$450.00	$750.00	317.66
$7.55	$15.10	$30.20	$75.50	$151.00	$302.00	$453.00	$755.00	200,000.00
$7.60	$15.20	$30.40	$76.00	$152.00	$304.00	$456.00	$760.00	33,333.33
$8.00	$16.00	$32.00	$80.00	$160.00	$320.00	$480.00	$800.00	3,448.28
$8.50	$17.00	$34.00	$85.00	$170.00	$340.00	$510.00	$850.00	12,500.00
$8.55	$17.10	$34.20	$85.50	$171.00	$342.00	$513.00	$855.00	19,607.84
$8.60	$17.20	$34.40	$86.00	$172.00	$344.00	$516.00	$860.00	40,000.00
$8.65	$17.30	$34.60	$86.50	$173.00	$346.00	$519.00	$865.00	40,000.00
$8.85	$17.70	$35.40	$88.50	$177.00	$354.00	$531.00	$885.00	5,000.00
$9.00	$18.00	$36.00	$90.00	$180.00	$360.00	$540.00	$900.00	100,000.00
$9.05	$18.10	$36.20	$90.50	$181.00	$362.00	$543.00	$905.00	83,333.33
$9.50	$19.00	$38.00	$95.00	$190.00	$380.00	$570.00	$950.00	52,631.58
$9.55	$19.10	$38.20	$95.50	$191.00	$382.00	$573.00	$955.00	66,666.67
$9.60	$19.20	$38.40	$96.00	$192.00	$384.00	$576.00	$960.00	125,000.00
$10.00	$20.00	$40.00	$100.00	$200.00	$400.00	$600.00	$1,000.00	277.28
$10.05	$20.10	$40.20	$100.50	$201.00	$402.00	$603.00	$1,005.00	200,000.00
$10.15	$20.30	$40.60	$101.50	$203.00	$406.00	$609.00	$1,015.00	2,793.30
