$0.10	$0.20	$0.50	$1.00	$2.00	$5.00	$10.00	$20.00	
$0.05	$0.10	$0.25	$0.50	$1.00	$2.50	$5.00	$10.00	11.11
$0.10	$0.20	$0.50	$1.00	$2.00	$5.00	$10.00	$20.00	10.53
$0.15	$0.30	$0.75	$1.50	$3.00	$7.50	$15.00	$30.00	16.67
$0.20	$0.40	$1.00	$2.00	$4.00	$10.00	$20.00	$40.00	28.57
$0.25	$0.50	$1.25	$2.50	$5.00	$12.50	$25.00	$50.00	48.96
$0.30	$0.60	$1.50	$3.00	$6.00	$15.00	$30.00	$60.00	200
$0.35	$0.70	$1.75	$3.50	$7.00	$17.50	$35.00	$70.00	5000
$0.40	$0.80	$2.00	$4.00	$8.00	$20.00	$40.00	$80.00	5000
$0.45	$0.90	$2.25	$4.50	$9.00	$22.50	$45.00	$90.00	5000
$0.50	$1.00	$2.50	$5.00	$10.00	$25.00	$50.00	$100.00	181.82
$0.60	$1.20	$3.00	$6.00	$12.00	$30.00	$60.00	$120.00	2000
$0.70	$1.40	$3.50	$7.00	$14.00	$35.00	$70.00	$140.00	2000
$0.75	$1.50	$3.75	$7.50	$15.00	$37.50	$75.00	$150.00	2000
$0.80	$1.60	$4.00	$8.00	$16.00	$40.00	$80.00	$160.00	4000
$0.90	$1.80	$4.50	$9.00	$18.00	$45.00	$90.00	$180.00	4000
$0.95	$1.90	$4.75	$9.50	$19.00	$47.50	$95.00	$190.00	4000
$1.00	$2.00	$5.00	$10.00	$20.00	$50.00	$100.00	$200.00	142.65
$1.20	$2.40	$6.00	$12.00	$24.00	$60.00	$120.00	$240.00	4000
$1.50	$3.00	$7.50	$15.00	$30.00	$75.00	$150.00	$300.00	497.51
$2.00	$4.00	$10.00	$20.00	$40.00	$100.00	$200.00	$400.00	4000
$2.50	$5.00	$12.50	$25.00	$50.00	$125.00	$250.00	$500.00	363.64
$3.00	$6.00	$15.00	$30.00	$60.00	$150.00	$300.00	$600.00	151.52
$3.50	$7.00	$17.50	$35.00	$70.00	$175.00	$350.00	$700.00	666.67
$4.00	$8.00	$20.00	$40.00	$80.00	$200.00	$400.00	$800.00	2222.22
$5.00	$10.00	$25.00	$50.00	$100.00	$250.00	$500.00	$1,000.00	6666.67
$7.50	$15.00	$37.50	$75.00	$150.00	$375.00	$750.00	$1,500.00	100000
$10.00	$20.00	$50.00	$100.00	$200.00	$500.00	$1,000.00	$2,000.00	111111.11
$250.00	$500.00	$1,250.00	$2,500.00	$5,000.00	$12,500.00	$25,000.00	$50,000.00	1000000
