$0.10	$0.20	$0.50	$1.00	$2.00	$5.00	$10.00	$20.00	
$0.01	$0.02	$0.05	$0.10	$0.20	$0.50	$1.00	$2.00	31.25
$0.02	$0.04	$0.10	$0.20	$0.40	$1.00	$2.00	$4.00	33.61
$0.03	$0.06	$0.15	$0.30	$0.60	$1.50	$3.00	$6.00	181.64
$0.04	$0.08	$0.20	$0.40	$0.80	$2.00	$4.00	$8.00	284.9
$0.05	$0.10	$0.25	$0.50	$1.00	$2.50	$5.00	$10.00	62.31
$0.06	$0.12	$0.30	$0.60	$1.20	$3.00	$6.00	$12.00	444.44
$0.07	$0.14	$0.35	$0.70	$1.40	$3.50	$7.00	$14.00	606.06
$0.08	$0.16	$0.40	$0.80	$1.60	$4.00	$8.00	$16.00	606.06
$0.09	$0.18	$0.45	$0.90	$1.80	$4.50	$9.00	$18.00	215.05
$0.10	$0.20	$0.50	$1.00	$2.00	$5.00	$10.00	$20.00	36.98
$0.12	$0.24	$0.60	$1.20	$2.40	$6.00	$12.00	$24.00	60.06
$0.13	$0.26	$0.65	$1.30	$2.60	$6.50	$13.00	$26.00	200
$0.15	$0.30	$0.75	$1.50	$3.00	$7.50	$15.00	$30.00	47.51
$0.16	$0.32	$0.80	$1.60	$3.20	$8.00	$16.00	$32.00	333.33
$0.17	$0.34	$0.85	$1.70	$3.40	$8.50	$17.00	$34.00	273.97
$0.18	$0.36	$0.90	$1.80	$3.60	$9.00	$18.00	$36.00	10,000.00
$0.19	$0.38	$0.95	$1.90	$3.80	$9.50	$19.00	$38.00	666.67
$0.20	$0.40	$1.00	$2.00	$4.00	$10.00	$20.00	$40.00	51.15
$0.21	$0.42	$1.05	$2.10	$4.20	$10.50	$21.00	$42.00	5,000.00
$0.22	$0.44	$1.10	$2.20	$4.40	$11.00	$22.00	$44.00	10,000.00
$0.23	$0.46	$1.15	$2.30	$4.60	$11.50	$23.00	$46.00	5,000.00
$0.24	$0.48	$1.20	$2.40	$4.80	$12.00	$24.00	$48.00	5,000.00
$0.25	$0.50	$1.25	$2.50	$5.00	$12.50	$25.00	$50.00	1,428.57
$0.26	$0.52	$1.30	$2.60	$5.20	$13.00	$26.00	$52.00	10,000.00
$0.30	$0.60	$1.50	$3.00	$6.00	$15.00	$30.00	$60.00	113.31
$0.31	$0.62	$1.55	$3.10	$6.20	$15.50	$31.00	$62.00	10,000.00
$0.32	$0.64	$1.60	$3.20	$6.40	$16.00	$32.00	$64.00	5,714.29
$0.33	$0.66	$1.65	$3.30	$6.60	$16.50	$33.00	$66.00	10,000.00
$0.34	$0.68	$1.70	$3.40	$6.80	$17.00	$34.00	$68.00	6,666.67
$0.35	$0.70	$1.75	$3.50	$7.00	$17.50	$35.00	$70.00	3,636.36
$0.36	$0.72	$1.80	$3.60	$7.20	$18.00	$36.00	$72.00	5,000.00
$0.39	$0.78	$1.95	$3.90	$7.80	$19.50	$39.00	$78.00	10,000.00
$0.40	$0.80	$2.00	$4.00	$8.00	$20.00	$40.00	$80.00	579.71
$0.41	$0.82	$2.05	$4.10	$8.20	$20.50	$41.00	$82.00	10,000.00
$0.42	$0.84	$2.10	$4.20	$8.40	$21.00	$42.00	$84.00	8,000.00
$0.44	$0.88	$2.20	$4.40	$8.80	$22.00	$44.00	$88.00	13,333.33
$0.45	$0.90	$2.25	$4.50	$9.00	$22.50	$45.00	$90.00	1,428.57
$0.47	$0.94	$2.35	$4.70	$9.40	$23.50	$47.00	$94.00	20,000.00
$0.48	$0.96	$2.40	$4.80	$9.60	$24.00	$48.00	$96.00	6,666.67
$0.49	$0.98	$2.45	$4.90	$9.80	$24.50	$49.00	$98.00	20,000.00
$0.50	$1.00	$2.50	$5.00	$10.00	$25.00	$50.00	$100.00	165.15
$0.51	$1.02	$2.55	$5.10	$10.20	$25.50	$51.00	$102.00	6,666.67
$0.53	$1.06	$2.65	$5.30	$10.60	$26.50	$53.00	$106.00	10,000.00
$0.54	$1.08	$2.70	$5.40	$10.80	$27.00	$54.00	$108.00	20,000.00
$0.55	$1.10	$2.75	$5.50	$11.00	$27.50	$55.00	$110.00	5,000.00
$0.57	$1.14	$2.85	$5.70	$11.40	$28.50	$57.00	$114.00	10,000.00
$0.58	$1.16	$2.90	$5.80	$11.60	$29.00	$58.00	$116.00	10,000.00
$0.59	$1.18	$2.95	$5.90	$11.80	$29.50	$59.00	$118.00	10,000.00
$0.60	$1.20	$3.00	$6.00	$12.00	$30.00	$60.00	$120.00	1,290.32
$0.62	$1.24	$3.10	$6.20	$12.40	$31.00	$62.00	$124.00	10,000.00
