$0.20	$0.50	$1.00	$2.00	$5.00	$10.00	$20.00	$30.00	$50.00	
$0.02	$0.05	$0.10	$0.20	$0.50	$1.00	$2.00	$3.00	$5.00	25.32
$0.04	$0.10	$0.20	$0.40	$1.00	$2.00	$4.00	$6.00	$10.00	34.48
$0.06	$0.15	$0.30	$0.60	$1.50	$3.00	$6.00	$9.00	$15.00	200
$0.08	$0.20	$0.40	$0.80	$2.00	$4.00	$8.00	$12.00	$20.00	285.71
$0.10	$0.25	$0.50	$1.00	$2.50	$5.00	$10.00	$15.00	$25.00	68.06
$0.12	$0.30	$0.60	$1.20	$3.00	$6.00	$12.00	$18.00	$30.00	153.85
$0.14	$0.35	$0.70	$1.40	$3.50	$7.00	$14.00	$21.00	$35.00	373.69
$0.18	$0.45	$0.90	$1.80	$4.50	$9.00	$18.00	$27.00	$45.00	935.02
$0.20	$0.50	$1.00	$2.00	$5.00	$10.00	$20.00	$30.00	$50.00	29.68
$0.22	$0.55	$1.10	$2.20	$5.50	$11.00	$22.00	$33.00	$55.00	389.18
$0.24	$0.60	$1.20	$2.40	$6.00	$12.00	$24.00	$36.00	$60.00	531.35
$0.26	$0.65	$1.30	$2.60	$6.50	$13.00	$26.00	$39.00	$65.00	1,700.68
$0.30	$0.75	$1.50	$3.00	$7.50	$15.00	$30.00	$45.00	$75.00	2,500.00
$0.40	$1.00	$2.00	$4.00	$10.00	$20.00	$40.00	$60.00	$100.00	22.06
$0.42	$1.05	$2.10	$4.20	$10.50	$21.00	$42.00	$63.00	$105.00	1,062.70
$0.44	$1.10	$2.20	$4.40	$11.00	$22.00	$44.00	$66.00	$110.00	1,360.54
$0.50	$1.25	$2.50	$5.00	$12.50	$25.00	$50.00	$75.00	$125.00	944.73
$0.52	$1.30	$2.60	$5.20	$13.00	$26.00	$52.00	$78.00	$130.00	1,700.68
$0.58	$1.45	$2.90	$5.80	$14.50	$29.00	$58.00	$87.00	$145.00	2,551.02
$0.60	$1.50	$3.00	$6.00	$15.00	$30.00	$60.00	$90.00	$150.00	119.73
$0.70	$1.75	$3.50	$7.00	$17.50	$35.00	$70.00	$105.00	$175.00	1,913.88
$0.80	$2.00	$4.00	$8.00	$20.00	$40.00	$80.00	$120.00	$200.00	305.44
$0.82	$2.05	$4.10	$8.20	$20.50	$41.00	$82.00	$123.00	$205.00	2,000.00
$0.86	$2.15	$4.30	$8.60	$21.50	$43.00	$86.00	$129.00	$215.00	1,538.46
$0.88	$2.20	$4.40	$8.80	$22.00	$44.00	$88.00	$132.00	$220.00	6,666.67
$0.90	$2.25	$4.50	$9.00	$22.50	$45.00	$90.00	$135.00	$225.00	2,424.24
$0.94	$2.35	$4.70	$9.40	$23.50	$47.00	$94.00	$141.00	$235.00	2,000.00
$1.00	$2.50	$5.00	$10.00	$25.00	$50.00	$100.00	$150.00	$250.00	182.03
$1.02	$2.55	$5.10	$10.20	$25.50	$51.00	$102.00	$153.00	$255.00	2,766.25
$1.04	$2.60	$5.20	$10.40	$26.00	$52.00	$104.00	$156.00	$260.00	598.09
$1.06	$2.65	$5.30	$10.60	$26.50	$53.00	$106.00	$159.00	$265.00	6,666.67
$1.10	$2.75	$5.50	$11.00	$27.50	$55.00	$110.00	$165.00	$275.00	1,557.63
$1.12	$2.80	$5.60	$11.20	$28.00	$56.00	$112.00	$168.00	$280.00	6,666.67
$1.14	$2.85	$5.70	$11.40	$28.50	$57.00	$114.00	$171.00	$285.00	2,976.19
