$0.10	$0.20	$0.50	$1.00	$2.00	$5.00	$10.00	$20.00	$30.00	
$0.01	$0.02	$0.05	$0.10	$0.20	$0.50	$1.00	$2.00	$3.00	29.41
$0.02	$0.04	$0.10	$0.20	$0.40	$1.00	$2.00	$4.00	$6.00	43.48
$0.03	$0.06	$0.15	$0.30	$0.60	$1.50	$3.00	$6.00	$9.00	125
$0.04	$0.08	$0.20	$0.40	$0.80	$2.00	$4.00	$8.00	$12.00	250
$0.05	$0.10	$0.25	$0.50	$1.00	$2.50	$5.00	$10.00	$15.00	32.11
$0.10	$0.20	$0.50	$1.00	$2.00	$5.00	$10.00	$20.00	$30.00	19.86
$0.11	$0.22	$0.55	$1.10	$2.20	$5.50	$11.00	$22.00	$33.00	52.08
$0.12	$0.24	$0.60	$1.20	$2.40	$6.00	$12.00	$24.00	$36.00	35.71
$0.15	$0.30	$0.75	$1.50	$3.00	$7.50	$15.00	$30.00	$45.00	86.96
$0.16	$0.32	$0.80	$1.60	$3.20	$8.00	$16.00	$32.00	$48.00	666.67
$0.20	$0.40	$1.00	$2.00	$4.00	$10.00	$20.00	$40.00	$60.00	58.82
$0.25	$0.50	$1.25	$2.50	$5.00	$12.50	$25.00	$50.00	$75.00	4,444.44
$0.30	$0.60	$1.50	$3.00	$6.00	$15.00	$30.00	$60.00	$90.00	557.1
$0.33	$0.66	$1.65	$3.30	$6.60	$16.50	$33.00	$66.00	$99.00	2,000.00
$0.35	$0.70	$1.75	$3.50	$7.00	$17.50	$35.00	$70.00	$105.00	1,694.92
$0.40	$0.80	$2.00	$4.00	$8.00	$20.00	$40.00	$80.00	$120.00	1,600.00
$0.43	$0.86	$2.15	$4.30	$8.60	$21.50	$43.00	$86.00	$129.00	2,000.00
$0.45	$0.90	$2.25	$4.50	$9.00	$22.50	$45.00	$90.00	$135.00	5,000.00
$0.50	$1.00	$2.50	$5.00	$10.00	$25.00	$50.00	$100.00	$150.00	253.16
$0.60	$1.20	$3.00	$6.00	$12.00	$30.00	$60.00	$120.00	$180.00	791.14
$0.65	$1.30	$3.25	$6.50	$13.00	$32.50	$65.00	$130.00	$195.00	1,000.00
$0.70	$1.40	$3.50	$7.00	$14.00	$35.00	$70.00	$140.00	$210.00	1,506.02
$0.80	$1.60	$4.00	$8.00	$16.00	$40.00	$80.00	$160.00	$240.00	1,157.41
$0.90	$1.80	$4.50	$9.00	$18.00	$45.00	$90.00	$180.00	$270.00	6,666.67
$0.95	$1.90	$4.75	$9.50	$19.00	$47.50	$95.00	$190.00	$285.00	6,666.67
$1.00	$2.00	$5.00	$10.00	$20.00	$50.00	$100.00	$200.00	$300.00	276.7
$1.05	$2.10	$5.25	$10.50	$21.00	$52.50	$105.00	$210.00	$315.00	5,000.00
$1.10	$2.20	$5.50	$11.00	$22.00	$55.00	$110.00	$220.00	$330.00	4,444.44
$1.20	$2.40	$6.00	$12.00	$24.00	$60.00	$120.00	$240.00	$360.00	1,600.00
