$0.10	$0.20	$0.50	$1.00	$2.00	$3.00	$5.00	$10.00	$20.00	
$0.01	$0.02	$0.05	$0.10	$0.20	$0.30	$0.50	$1.00	$2.00	38.43
$0.02	$0.04	$0.10	$0.20	$0.40	$0.60	$1.00	$2.00	$4.00	43.76
$0.03	$0.06	$0.15	$0.30	$0.60	$0.90	$1.50	$3.00	$6.00	80
$0.04	$0.08	$0.20	$0.40	$0.80	$1.20	$2.00	$4.00	$8.00	84.39
$0.05	$0.10	$0.25	$0.50	$1.00	$1.50	$2.50	$5.00	$10.00	166.67
$0.06	$0.12	$0.30	$0.60	$1.20	$1.80	$3.00	$6.00	$12.00	1,428.57
$0.07	$0.14	$0.35	$0.70	$1.40	$2.10	$3.50	$7.00	$14.00	400
$0.10	$0.20	$0.50	$1.00	$2.00	$3.00	$5.00	$10.00	$20.00	53.88
$0.12	$0.24	$0.60	$1.20	$2.40	$3.60	$6.00	$12.00	$24.00	126.58
$0.14	$0.28	$0.70	$1.40	$2.80	$4.20	$7.00	$14.00	$28.00	500
$0.15	$0.30	$0.75	$1.50	$3.00	$4.50	$7.50	$15.00	$30.00	117.65
$0.16	$0.32	$0.80	$1.60	$3.20	$4.80	$8.00	$16.00	$32.00	222.22
$0.17	$0.34	$0.85	$1.70	$3.40	$5.10	$8.50	$17.00	$34.00	1,000.00
$0.18	$0.36	$0.90	$1.80	$3.60	$5.40	$9.00	$18.00	$36.00	666.67
$0.19	$0.38	$0.95	$1.90	$3.80	$5.70	$9.50	$19.00	$38.00	1,000.00
$0.20	$0.40	$1.00	$2.00	$4.00	$6.00	$10.00	$20.00	$40.00	43.29
$0.24	$0.48	$1.20	$2.40	$4.80	$7.20	$12.00	$24.00	$48.00	2,000.00
$0.25	$0.50	$1.25	$2.50	$5.00	$7.50	$12.50	$25.00	$50.00	1,000.00
$0.26	$0.52	$1.30	$2.60	$5.20	$7.80	$13.00	$26.00	$52.00	1,000.00
$0.27	$0.54	$1.35	$2.70	$5.40	$8.10	$13.50	$27.00	$54.00	400
$0.28	$0.56	$1.40	$2.80	$5.60	$8.40	$14.00	$28.00	$56.00	666.67
$0.30	$0.60	$1.50	$3.00	$6.00	$9.00	$15.00	$30.00	$60.00	175.44
$0.32	$0.64	$1.60	$3.20	$6.40	$9.60	$16.00	$32.00	$64.00	1,000.00
$0.35	$0.70	$1.75	$3.50	$7.00	$10.50	$17.50	$35.00	$70.00	2,000.00
$0.38	$0.76	$1.90	$3.80	$7.60	$11.40	$19.00	$38.00	$76.00	2,000.00
$0.39	$0.78	$1.95	$3.90	$7.80	$11.70	$19.50	$39.00	$78.00	2,000.00
$0.40	$0.80	$2.00	$4.00	$8.00	$12.00	$20.00	$40.00	$80.00	1,111.11
$0.44	$0.88	$2.20	$4.40	$8.80	$13.20	$22.00	$44.00	$88.00	2,000.00
