$0.50	$1.00	$2.00	$3.00	$5.00	$10.00	$20.00	
$0.05	$0.10	$0.20	$0.30	$0.50	$1.00	$2.00	74.07
$0.10	$0.20	$0.40	$0.60	$1.00	$2.00	$4.00	74.07
$0.20	$0.40	$0.80	$1.20	$2.00	$4.00	$8.00	133.33
$0.25	$0.50	$1.00	$1.50	$2.50	$5.00	$10.00	83.33
$0.30	$0.60	$1.20	$1.80	$3.00	$6.00	$12.00	133.33
$0.40	$0.80	$1.60	$2.40	$4.00	$8.00	$16.00	133.33
$0.45	$0.90	$1.80	$2.70	$4.50	$9.00	$18.00	142.86
$0.50	$1.00	$2.00	$3.00	$5.00	$10.00	$20.00	77.76
$0.60	$1.20	$2.40	$3.60	$6.00	$12.00	$24.00	142.86
$0.70	$1.40	$2.80	$4.20	$7.00	$14.00	$28.00	142.86
$0.75	$1.50	$3.00	$4.50	$7.50	$15.00	$30.00	95.24
$0.80	$1.60	$3.20	$4.80	$8.00	$16.00	$32.00	166.67
$0.90	$1.80	$3.60	$5.40	$9.00	$18.00	$36.00	95.24
$1.00	$2.00	$4.00	$6.00	$10.00	$20.00	$40.00	105.26
$1.10	$2.20	$4.40	$6.60	$11.00	$22.00	$44.00	250
$1.20	$2.40	$4.80	$7.20	$12.00	$24.00	$48.00	71.43
$1.30	$2.60	$5.20	$7.80	$13.00	$26.00	$52.00	1,333.33
$1.50	$3.00	$6.00	$9.00	$15.00	$30.00	$60.00	173.91
$2.00	$4.00	$8.00	$12.00	$20.00	$40.00	$80.00	121.21
$2.10	$4.20	$8.40	$12.60	$21.00	$42.00	$84.00	1,333.33
$2.20	$4.40	$8.80	$13.20	$22.00	$44.00	$88.00	6,666.67
$2.25	$4.50	$9.00	$13.50	$22.50	$45.00	$90.00	285.71
$2.50	$5.00	$10.00	$15.00	$25.00	$50.00	$100.00	338.98
$2.55	$5.10	$10.20	$15.30	$25.50	$51.00	$102.00	222.22
$3.00	$6.00	$12.00	$18.00	$30.00	$60.00	$120.00	303.03
$3.05	$6.10	$12.20	$18.30	$30.50	$61.00	$122.00	2,000.00
$3.50	$7.00	$14.00	$21.00	$35.00	$70.00	$140.00	285.71
$3.55	$7.10	$14.20	$21.30	$35.50	$71.00	$142.00	2,000.00
$4.00	$8.00	$16.00	$24.00	$40.00	$80.00	$160.00	500
$4.50	$9.00	$18.00	$27.00	$45.00	$90.00	$180.00	2,000.00
$5.00	$10.00	$20.00	$30.00	$50.00	$100.00	$200.00	222.22
$5.10	$10.20	$20.40	$30.60	$51.00	$102.00	$204.00	4,000.00
$5.20	$10.40	$20.80	$31.20	$52.00	$104.00	$208.00	4,000.00
$5.25	$10.50	$21.00	$31.50	$52.50	$105.00	$210.00	666.67
$5.75	$11.50	$23.00	$34.50	$57.50	$115.00	$230.00	2,352.94
$6.00	$12.00	$24.00	$36.00	$60.00	$120.00	$240.00	727.27
$6.05	$12.10	$24.20	$36.30	$60.50	$121.00	$242.00	20,000.00
$6.50	$13.00	$26.00	$39.00	$65.00	$130.00	$260.00	20,000.00
$7.00	$14.00	$28.00	$42.00	$70.00	$140.00	$280.00	506.33
$7.40	$14.80	$29.60	$44.40	$74.00	$148.00	$296.00	555.56
$7.50	$15.00	$30.00	$45.00	$75.00	$150.00	$300.00	2,000.00
$8.00	$16.00	$32.00	$48.00	$80.00	$160.00	$320.00	1,000.00
$8.25	$16.50	$33.00	$49.50	$82.50	$165.00	$330.00	2,666.67
$8.50	$17.00	$34.00	$51.00	$85.00	$170.00	$340.00	5,000.00
$9.00	$18.00	$36.00	$54.00	$90.00	$180.00	$360.00	1,052.63
$9.75	$19.50	$39.00	$58.50	$97.50	$195.00	$390.00	4,000.00
$10.00	$20.00	$40.00	$60.00	$100.00	$200.00	$400.00	321.54
$10.10	$20.20	$40.40	$60.60	$101.00	$202.00	$404.00	8,000.00
$10.20	$20.40	$40.80	$61.20	$102.00	$204.00	$408.00	8,000.00
$10.50	$21.00	$42.00	$63.00	$105.00	$210.00	$420.00	8,000.00
