$0.10	$0.20	$0.50	$1.00	$2.00	$5.00	$10.00	$20.00	$30.00	
$0.01	$0.02	$0.05	$0.10	$0.20	$0.50	$1.00	$2.00	$3.00	48.63
$0.02	$0.04	$0.10	$0.20	$0.40	$1.00	$2.00	$4.00	$6.00	44.44
$0.03	$0.06	$0.15	$0.30	$0.60	$1.50	$3.00	$6.00	$9.00	66.67
$0.04	$0.08	$0.20	$0.40	$0.80	$2.00	$4.00	$8.00	$12.00	100
$0.05	$0.10	$0.25	$0.50	$1.00	$2.50	$5.00	$10.00	$15.00	50
$0.10	$0.20	$0.50	$1.00	$2.00	$5.00	$10.00	$20.00	$30.00	20.61
$0.15	$0.30	$0.75	$1.50	$3.00	$7.50	$15.00	$30.00	$45.00	57.14
$0.20	$0.40	$1.00	$2.00	$4.00	$10.00	$20.00	$40.00	$60.00	20.3
$0.25	$0.50	$1.25	$2.50	$5.00	$12.50	$25.00	$50.00	$75.00	250
$0.30	$0.60	$1.50	$3.00	$6.00	$15.00	$30.00	$60.00	$90.00	95.24
$0.35	$0.70	$1.75	$3.50	$7.00	$17.50	$35.00	$70.00	$105.00	800
$0.40	$0.80	$2.00	$4.00	$8.00	$20.00	$40.00	$80.00	$120.00	222.22
$0.50	$1.00	$2.50	$5.00	$10.00	$25.00	$50.00	$100.00	$150.00	1,000.00
$0.55	$1.10	$2.75	$5.50	$11.00	$27.50	$55.00	$110.00	$165.00	800
$0.60	$1.20	$3.00	$6.00	$12.00	$30.00	$60.00	$120.00	$180.00	425.53
$0.65	$1.30	$3.25	$6.50	$13.00	$32.50	$65.00	$130.00	$195.00	4,000.00
$0.68	$1.36	$3.40	$6.80	$13.60	$34.00	$68.00	$136.00	$204.00	1,333.33
$0.70	$1.40	$3.50	$7.00	$14.00	$35.00	$70.00	$140.00	$210.00	2,000.00
$0.71	$1.42	$3.55	$7.10	$14.20	$35.50	$71.00	$142.00	$213.00	1,666.67
$0.80	$1.60	$4.00	$8.00	$16.00	$40.00	$80.00	$160.00	$240.00	2,857.14
$0.85	$1.70	$4.25	$8.50	$17.00	$42.50	$85.00	$170.00	$255.00	1,250.00
$0.95	$1.90	$4.75	$9.50	$19.00	$47.50	$95.00	$190.00	$285.00	10,000.00
$1.00	$2.00	$5.00	$10.00	$20.00	$50.00	$100.00	$200.00	$300.00	709.22
$1.02	$2.04	$5.10	$10.20	$20.40	$51.00	$102.00	$204.00	$306.00	4,000.00
$1.10	$2.20	$5.50	$11.00	$22.00	$55.00	$110.00	$220.00	$330.00	4,000.00
$1.15	$2.30	$5.75	$11.50	$23.00	$57.50	$115.00	$230.00	$345.00	4,000.00
$1.19	$2.38	$5.95	$11.90	$23.80	$59.50	$119.00	$238.00	$357.00	1,333.33
$1.27	$2.54	$6.35	$12.70	$25.40	$63.50	$127.00	$254.00	$381.00	4,000.00
$1.28	$2.56	$6.40	$12.80	$25.60	$64.00	$128.00	$256.00	$384.00	1,333.33
$1.29	$2.58	$6.45	$12.90	$25.80	$64.50	$129.00	$258.00	$387.00	1,333.33
$1.30	$2.60	$6.50	$13.00	$26.00	$65.00	$130.00	$260.00	$390.00	4,000.00
$1.50	$3.00	$7.50	$15.00	$30.00	$75.00	$150.00	$300.00	$450.00	2,000.00
$1.60	$3.20	$8.00	$16.00	$32.00	$80.00	$160.00	$320.00	$480.00	6,666.67
$1.61	$3.22	$8.05	$16.10	$32.20	$80.50	$161.00	$322.00	$483.00	2,500.00
$1.65	$3.30	$8.25	$16.50	$33.00	$82.50	$165.00	$330.00	$495.00	4,000.00
$1.85	$3.70	$9.25	$18.50	$37.00	$92.50	$185.00	$370.00	$555.00	2,500.00
$1.87	$3.74	$9.35	$18.70	$37.40	$93.50	$187.00	$374.00	$561.00	4,000.00
$1.95	$3.90	$9.75	$19.50	$39.00	$97.50	$195.00	$390.00	$585.00	20,000.00
