$0.50	$1.00	$2.00	$3.00	$5.00	$10.00	$20.00	$30.00	$50.00	
$0.05	$0.10	$0.20	$0.30	$0.50	$1.00	$2.00	$3.00	$5.00	38.83
$0.10	$0.20	$0.40	$0.60	$1.00	$2.00	$4.00	$6.00	$10.00	38.1
$0.15	$0.30	$0.60	$0.90	$1.50	$3.00	$6.00	$9.00	$15.00	333.33
$0.20	$0.40	$0.80	$1.20	$2.00	$4.00	$8.00	$12.00	$20.00	129.03
$0.25	$0.50	$1.00	$1.50	$2.50	$5.00	$10.00	$15.00	$25.00	57.97
$0.30	$0.60	$1.20	$1.80	$3.00	$6.00	$12.00	$18.00	$30.00	800
$0.35	$0.70	$1.40	$2.10	$3.50	$7.00	$14.00	$21.00	$35.00	4,000.00
$0.40	$0.80	$1.60	$2.40	$4.00	$8.00	$16.00	$24.00	$40.00	4,000.00
$0.45	$0.90	$1.80	$2.70	$4.50	$9.00	$18.00	$27.00	$45.00	400
$0.50	$1.00	$2.00	$3.00	$5.00	$10.00	$20.00	$30.00	$50.00	41.2
$0.60	$1.20	$2.40	$3.60	$6.00	$12.00	$24.00	$36.00	$60.00	465.12
$0.65	$1.30	$2.60	$3.90	$6.50	$13.00	$26.00	$39.00	$65.00	1,818.18
$0.75	$1.50	$3.00	$4.50	$7.50	$15.00	$30.00	$45.00	$75.00	333.33
$0.80	$1.60	$3.20	$4.80	$8.00	$16.00	$32.00	$48.00	$80.00	2,000.00
$0.85	$1.70	$3.40	$5.10	$8.50	$17.00	$34.00	$51.00	$85.00	2,666.67
$0.95	$1.90	$3.80	$5.70	$9.50	$19.00	$38.00	$57.00	$95.00	2,666.67
$1.00	$2.00	$4.00	$6.00	$10.00	$20.00	$40.00	$60.00	$100.00	51.15
$1.05	$2.10	$4.20	$6.30	$10.50	$21.00	$42.00	$63.00	$105.00	2,666.67
$1.10	$2.20	$4.40	$6.60	$11.00	$22.00	$44.00	$66.00	$110.00	571.43
$1.15	$2.30	$4.60	$6.90	$11.50	$23.00	$46.00	$69.00	$115.00	470.59
$1.25	$2.50	$5.00	$7.50	$12.50	$25.00	$50.00	$75.00	$125.00	1,000.00
$1.30	$2.60	$5.20	$7.80	$13.00	$26.00	$52.00	$78.00	$130.00	800
$1.50	$3.00	$6.00	$9.00	$15.00	$30.00	$60.00	$90.00	$150.00	85.47
$1.75	$3.50	$7.00	$10.50	$17.50	$35.00	$70.00	$105.00	$175.00	2,000.00
$1.95	$3.90	$7.80	$11.70	$19.50	$39.00	$78.00	$117.00	$195.00	2,666.67
$2.00	$4.00	$8.00	$12.00	$20.00	$40.00	$80.00	$120.00	$200.00	169.49
$2.05	$4.10	$8.20	$12.30	$20.50	$41.00	$82.00	$123.00	$205.00	1,000.00
$2.10	$4.20	$8.40	$12.60	$21.00	$42.00	$84.00	$126.00	$210.00	5,714.29
$2.20	$4.40	$8.80	$13.20	$22.00	$44.00	$88.00	$132.00	$220.00	1,379.31
$2.25	$4.50	$9.00	$13.50	$22.50	$45.00	$90.00	$135.00	$225.00	5,714.29
$2.30	$4.60	$9.20	$13.80	$23.00	$46.00	$92.00	$138.00	$230.00	1,000.00
$2.50	$5.00	$10.00	$15.00	$25.00	$50.00	$100.00	$150.00	$250.00	105.26
$2.55	$5.10	$10.20	$15.30	$25.50	$51.00	$102.00	$153.00	$255.00	5,714.29
$2.60	$5.20	$10.40	$15.60	$26.00	$52.00	$104.00	$156.00	$260.00	1,481.48
$2.65	$5.30	$10.60	$15.90	$26.50	$53.00	$106.00	$159.00	$265.00	5,714.29
