$0.10	$0.20	$0.50	$1.00	$2.00	$5.00	$10.00	$20.00	$30.00	
$0.01	$0.02	$0.05	$0.10	$0.20	$0.50	$1.00	$2.00	$3.00	30.3
$0.02	$0.04	$0.10	$0.20	$0.40	$1.00	$2.00	$4.00	$6.00	28.17
$0.03	$0.06	$0.15	$0.30	$0.60	$1.50	$3.00	$6.00	$9.00	100
$0.04	$0.08	$0.20	$0.40	$0.80	$2.00	$4.00	$8.00	$12.00	250
$0.05	$0.10	$0.25	$0.50	$1.00	$2.50	$5.00	$10.00	$15.00	51.28
$0.10	$0.20	$0.50	$1.00	$2.00	$5.00	$10.00	$20.00	$30.00	19.54
$0.11	$0.22	$0.55	$1.10	$2.20	$5.50	$11.00	$22.00	$33.00	125
$0.12	$0.24	$0.60	$1.20	$2.40	$6.00	$12.00	$24.00	$36.00	66.67
$0.15	$0.30	$0.75	$1.50	$3.00	$7.50	$15.00	$30.00	$45.00	38.35
$0.16	$0.32	$0.80	$1.60	$3.20	$8.00	$16.00	$32.00	$48.00	200
$0.20	$0.40	$1.00	$2.00	$4.00	$10.00	$20.00	$40.00	$60.00	105.26
$0.25	$0.50	$1.25	$2.50	$5.00	$12.50	$25.00	$50.00	$75.00	2,000.00
$0.30	$0.60	$1.50	$3.00	$6.00	$15.00	$30.00	$60.00	$90.00	384.62
$0.33	$0.66	$1.65	$3.30	$6.60	$16.50	$33.00	$66.00	$99.00	1,333.33
$0.35	$0.70	$1.75	$3.50	$7.00	$17.50	$35.00	$70.00	$105.00	625
$0.40	$0.80	$2.00	$4.00	$8.00	$20.00	$40.00	$80.00	$120.00	454.55
$0.43	$0.86	$2.15	$4.30	$8.60	$21.50	$43.00	$86.00	$129.00	20,000.00
$0.45	$0.90	$2.25	$4.50	$9.00	$22.50	$45.00	$90.00	$135.00	2,666.67
$0.50	$1.00	$2.50	$5.00	$10.00	$25.00	$50.00	$100.00	$150.00	404.04
$0.55	$1.10	$2.75	$5.50	$11.00	$27.50	$55.00	$110.00	$165.00	1,000.00
$0.60	$1.20	$3.00	$6.00	$12.00	$30.00	$60.00	$120.00	$180.00	1,333.33
$0.62	$1.24	$3.10	$6.20	$12.40	$31.00	$62.00	$124.00	$186.00	2,000.00
$0.63	$1.26	$3.15	$6.30	$12.60	$31.50	$63.00	$126.00	$189.00	2,000.00
$0.65	$1.30	$3.25	$6.50	$13.00	$32.50	$65.00	$130.00	$195.00	1,257.86
$0.70	$1.40	$3.50	$7.00	$14.00	$35.00	$70.00	$140.00	$210.00	1,111.11
$0.75	$1.50	$3.75	$7.50	$15.00	$37.50	$75.00	$150.00	$225.00	20,000.00
