$0.20	$0.50	$1.00	$2.00	$5.00	$10.00	$20.00	$30.00	
$0.04	$0.10	$0.20	$0.40	$1.00	$2.00	$4.00	$6.00	23.81
$0.08	$0.20	$0.40	$0.80	$2.00	$4.00	$8.00	$12.00	47.62
$0.12	$0.30	$0.60	$1.20	$3.00	$6.00	$12.00	$18.00	47.62
$0.16	$0.40	$0.80	$1.60	$4.00	$8.00	$16.00	$24.00	63.49
$0.20	$0.50	$1.00	$2.00	$5.00	$10.00	$20.00	$30.00	50.51
$0.24	$0.60	$1.20	$2.40	$6.00	$12.00	$24.00	$36.00	61.31
$0.28	$0.70	$1.40	$2.80	$7.00	$14.00	$28.00	$42.00	71.53
$0.32	$0.80	$1.60	$3.20	$8.00	$16.00	$32.00	$48.00	102.18
$0.36	$0.90	$1.80	$3.60	$9.00	$18.00	$36.00	$54.00	114.96
$0.40	$1.00	$2.00	$4.00	$10.00	$20.00	$40.00	$60.00	68.12
$0.44	$1.10	$2.20	$4.40	$11.00	$22.00	$44.00	$66.00	374.6
$0.48	$1.20	$2.40	$4.80	$12.00	$24.00	$48.00	$72.00	245.22
$0.56	$1.40	$2.80	$5.60	$14.00	$28.00	$56.00	$84.00	286.04
$0.60	$1.50	$3.00	$6.00	$15.00	$30.00	$60.00	$90.00	255.43
$0.64	$1.60	$3.20	$6.40	$16.00	$32.00	$64.00	$96.00	326.9
$0.72	$1.80	$3.60	$7.20	$18.00	$36.00	$72.00	$108.00	612.93
$0.80	$2.00	$4.00	$8.00	$20.00	$40.00	$80.00	$120.00	408.66
$0.88	$2.20	$4.40	$8.80	$22.00	$44.00	$88.00	$132.00	749.06
$0.96	$2.40	$4.80	$9.60	$24.00	$48.00	$96.00	$144.00	612.75
$1.00	$2.50	$5.00	$10.00	$25.00	$50.00	$100.00	$150.00	165.29
$1.20	$3.00	$6.00	$12.00	$30.00	$60.00	$120.00	$180.00	674.08
$1.36	$3.40	$6.80	$13.60	$34.00	$68.00	$136.00	$204.00	477.55
$1.40	$3.50	$7.00	$14.00	$35.00	$70.00	$140.00	$210.00	262.19
$1.44	$3.60	$7.20	$14.40	$36.00	$72.00	$144.00	$216.00	404.45
$1.52	$3.80	$7.60	$15.20	$38.00	$76.00	$152.00	$228.00	853.61
$1.60	$4.00	$8.00	$16.00	$40.00	$80.00	$160.00	$240.00	449.54
$1.68	$4.20	$8.40	$16.80	$42.00	$84.00	$168.00	$252.00	942.95
$1.84	$4.60	$9.20	$18.40	$46.00	$92.00	$184.00	$276.00	1,033.06
$2.00	$5.00	$10.00	$20.00	$50.00	$100.00	$200.00	$300.00	280.94
$2.08	$5.20	$10.40	$20.80	$52.00	$104.00	$208.00	$312.00	1,000.50
$2.20	$5.50	$11.00	$22.00	$55.00	$110.00	$220.00	$330.00	1,587.30
$2.40	$6.00	$12.00	$24.00	$60.00	$120.00	$240.00	$360.00	866.55
$2.48	$6.20	$12.40	$24.80	$62.00	$124.00	$248.00	$372.00	3,577.82
$2.80	$7.00	$14.00	$28.00	$70.00	$140.00	$280.00	$420.00	1,347.71
$3.00	$7.50	$15.00	$30.00	$75.00	$150.00	$300.00	$450.00	578.7
$3.20	$8.00	$16.00	$32.00	$80.00	$160.00	$320.00	$480.00	1,855.29
$3.24	$8.10	$16.20	$32.40	$81.00	$162.00	$324.00	$486.00	3,129.89
$3.40	$8.50	$17.00	$34.00	$85.00	$170.00	$340.00	$510.00	3,284.07
$3.60	$9.00	$18.00	$36.00	$90.00	$180.00	$360.00	$540.00	2,087.68
$3.68	$9.20	$18.40	$36.80	$92.00	$184.00	$368.00	$552.00	5,333.33
$3.76	$9.40	$18.80	$37.60	$94.00	$188.00	$376.00	$564.00	5,449.59
