$0.50	$1.00	$2.00	$5.00	$10.00	$20.00	$30.00	$50.00	
$0.05	$0.10	$0.20	$0.50	$1.00	$2.00	$3.00	$5.00	30.68
$0.10	$0.20	$0.40	$1.00	$2.00	$4.00	$6.00	$10.00	46.51
$0.15	$0.30	$0.60	$1.50	$3.00	$6.00	$9.00	$15.00	129.03
$0.20	$0.40	$0.80	$2.00	$4.00	$8.00	$12.00	$20.00	400
$0.25	$0.50	$1.00	$2.50	$5.00	$10.00	$15.00	$25.00	78.2
$0.30	$0.60	$1.20	$3.00	$6.00	$12.00	$18.00	$30.00	74.07
$0.35	$0.70	$1.40	$3.50	$7.00	$14.00	$21.00	$35.00	199.96
$0.40	$0.80	$1.60	$4.00	$8.00	$16.00	$24.00	$40.00	246.91
$0.50	$1.00	$2.00	$5.00	$10.00	$20.00	$30.00	$50.00	24.67
$0.55	$1.10	$2.20	$5.50	$11.00	$22.00	$33.00	$55.00	170.94
$0.60	$1.20	$2.40	$6.00	$12.00	$24.00	$36.00	$60.00	95.24
$0.75	$1.50	$3.00	$7.50	$15.00	$30.00	$45.00	$75.00	43.48
$0.80	$1.60	$3.20	$8.00	$16.00	$32.00	$48.00	$80.00	3,333.33
$0.85	$1.70	$3.40	$8.50	$17.00	$34.00	$51.00	$85.00	312.5
$1.00	$2.00	$4.00	$10.00	$20.00	$40.00	$60.00	$100.00	45.77
$1.05	$2.10	$4.20	$10.50	$21.00	$42.00	$63.00	$105.00	2,857.14
$1.10	$2.20	$4.40	$11.00	$22.00	$44.00	$66.00	$110.00	400
$1.20	$2.40	$4.80	$12.00	$24.00	$48.00	$72.00	$120.00	1,000.00
$1.25	$2.50	$5.00	$12.50	$25.00	$50.00	$75.00	$125.00	344.83
$1.30	$2.60	$5.20	$13.00	$26.00	$52.00	$78.00	$130.00	6,666.67
$1.35	$2.70	$5.40	$13.50	$27.00	$54.00	$81.00	$135.00	1,666.67
$1.40	$2.80	$5.60	$14.00	$28.00	$56.00	$84.00	$140.00	2,000.00
$1.45	$2.90	$5.80	$14.50	$29.00	$58.00	$87.00	$145.00	19,047.62
$1.50	$3.00	$6.00	$15.00	$30.00	$60.00	$90.00	$150.00	192.12
$1.55	$3.10	$6.20	$15.50	$31.00	$62.00	$93.00	$155.00	200
